Product ID	Product Name	Type	Supplier	Brand	Location (see company C-code )	Ingredients	Product Name on UI	Product Description on UI	Features on UI	Ingredients on UI	Flow Calibration [ml/tick]	Notes	URL
P-0	WATER	Water				WATER	Water	Quench your thirst with the refreshing purity of Vancouver water. Derived from pristine mountain springs and cascading rivers, this liquid jewel captures the essence of nature itself. Its crisp and clean taste revitalizes your senses, offering a revitalizing embrace of clarity and hydration. Experience the essence of Vancouver in every sip.		Rain, mist, snow, ice	7.1		
P-1		Dish	Jusu	Jusu									
P-2		Hand	Jusu	Jusu									
P-3		Dish	Jusu	Jusu							6.0		
P-4				Jusu									
P-5	Free & Clear Dish Soap	Dish	VIP	EchoClean	C-2, C-3, C-4, C-9	Aqua (filtered water), Sodium Laureth Sulfate* (cleaning agent), Cocamidopropylamine Oxide* (cleaning agent), Sodium Chloride (viscosity modifier), Benzisothiazolinone (preservative) *Plant-based Ingredients	EchoClean Free and Clear<br>Dish Soap	Cuts through grease and tough residue, leaving your dishes sparkling. Designed for hand-washing dishes, pots, and pans.<br>Phosphate-free<br>100% biodegradable<br><br>No petroleum-based cleaners	Plant-based<br> PETA certified<br> 100% biodegradable	Aqua (filtered water), Sodium Laureth Sulfate* (cleaning agent), Cocamidopropylamine Oxide* (cleaning agent), Sodium Chloride (viscosity modifier), Benzisothiazolinone (preservative) *Plant-based Ingredients	6.3		https://drive.google.com/uc?export=view&id=1mk4sBq10m_low1L3M-q-XBftwsAl0Dec
P-6	Tangerine Dish Soap	Dish	VIP	EchoClean	C-2. C-3, C-4, C-5, C-9	Aqua, Sodium Lauryl Sulphate, Laureth-7*, Cocamidopropylamine Oxide*, Cocamidopropyl Betaine*, Decyl Glucoside*, Sodium Chloride, Citrus Reticulata Blanco Oil, Citrus Paradisi Oil, Citrus Aurantium L. Leaf Oil, Benzisothiazolinone. *Plant-based and biodegradable ingredients.	EchoClean Tangerine<br>Dish Soap	Cuts through grease and tough residue, leaving your dishes sparkling. Designed for hand-washing dishes, pots, and pans.<br>Phosphate-free<br>100% biodegradable<br><br>No petroleum-based cleaners	Plant-based<br> PETA certified<br> 100% biodegradable	Aqua, Sodium Lauryl Sulphate, Laureth-7*, Cocamidopropylamine Oxide*, Cocamidopropyl Betaine*, Decyl Glucoside*, Sodium Chloride, Citrus Reticulata Blanco Oil, Citrus Paradisi Oil, Citrus Aurantium L. Leaf Oil, Benzisothiazolinone. *Plant-based and biodegradable ingredient.	6.0		https://drive.google.com/uc?export=view&id=1mJD-0S9c3PHCVFkBgeurpyRrSpMbwpH4
P-7	Lavender Laundry Detergent	Laundry	VIP	EchoClean	C-2, C-3, C-4, C-5, C-9	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster), Fragrance	EchoClean Lavender<br>Laundry Detergent	Fights tough dirt and stains: no dyes, no perfumes.<br>Plant-based<br>PETA certified<br>No artificial perfumes	Plant-based<br> PETA certified<br> 100% biodegradable	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster), Fragrance	5.7		https://drive.google.com/uc?export=view&id=1mHmXzSv9cFrwtZpa4y330VCjpSoiMAaa
P-8	Free & Clear Laundry Detergent	Laundry	VIP	EchoClean	C-2, C-3, C-4, C-5,	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster)	EchoClean Free and Clear<br>Laundry Detergent	Fights tough dirt and stains: no dyes, no perfumes.<br>Plant-based<br>PETA certified<br>No artificial perfumes	Plant-based<br> PETA certified<br> 100% biodegradable	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster)	5.8		https://drive.google.com/uc?export=view&id=1mFlF3nuVyW0ShMDARHcI0SbGce9a4npB
P-9			Nada	Gentle Earth									
P-10		Hand	Nada	Live for Tomorrow							6.4		
P-11			Nada	Oneka							6.5		
P-12	Dish Soap Grapefruit 2X	Dish	Nada	Live for Tomorrow	C-8	Purified Water, Sodium Methyl -2-Sulfolaurate/Disodium 2-Sulfolaurate, Lauramine Oxide, Caprylyl/Myristyl Glucoside, Glycerine, Citrus Paradisi , Sodium Chloride, Sodium Carbonate, Potassium Sorbate, Citric Acid , Sodium Hydroxide/Sodium Chloride/Sodium Carbonate	Live for Tomorrow Dish Soap<br>Grapefruit	This plant & mineral based, non-toxic dish liquid tackles<br>the greasiest of dishes. A little bit goes a long way! For use in your<br>sink, NOT your dishwasher. 	Plant-based<br> PETA certified<br> 100% biodegradable	Purified Water, Sodium Methyl -2-Sulfolaurate/Disodium 2-Sulfolaurate, Lauramine Oxide, Caprylyl/Myristyl Glucoside, Glycerine, Citrus Paradisi , Sodium Chloride, Sodium Carbonate, Potassium Sorbate, Citric Acid , Sodium Hydroxide/Sodium Chloride/Sodium Carbonate	6.0		https://drive.google.com/uc?export=view&id=1n83jT-vIWBzT9SCoKxhrbj7s2HIST6MX
P-13		Hair	Nada	Oneka							6.5		
P-14		Hair		Oneka									
P-15		Body Lotion		Oneka							4.6		
P-16		Laundry		Live for Tomorrow									
P-17		Laundry		Live for Tomorrow									
P-18		Dish		Nature Clean									
P-19		Dish		Nature Clean							5.8		
P-20		Laundry		Nature Clean							6.0		
P-21	Scent-Free Dish Soap	Dish	Re-Up Refills	Puretergent	C-7	Water, Sodium Methyl-2-Sulfolaurate and Disodium 2-Sulfolaurate, Alkyl Polyglucoside, Lauramine Oxide, Sambucus Nigra Fruit Extract, Witch Hazel Distillate, Sodium Chloride, Aloe Vera Extract, Nigra Fruit Extract. Algae Oil.	Puretergent Scent-Free<br>Dish Soap	This hard-working dish soap lathers well, and works great on tough grease. 	Biodegradable<br>Greywater Safe<br>Non-toxic	Water, Sodium Methyl-2-Sulfolaurate and Disodium 2-Sulfolaurate, Alkyl Polyglucoside, Lauramine Oxide, Sambucus Nigra Fruit Extract, Witch Hazel Distillate, Sodium Chloride, Aloe Vera Extract, Nigra Fruit Extract. Algae Oil.			https://drive.google.com/uc?export=view&id=1n4AfdmMgiRJwSIKVWNkPtnw7Ur_nMbhx
P-22	Scent-Free Laundry Detergent 	Laundry	Re-Up Refills	Puretergent	C-7	Water, Taraxacum Officinal, Aloe Vera Extract, Polyaspartic Acid Sodium Salt,  Iminodisuccinate Sodium Salt, Alkyl Polyglucoside, C9-11 Pareth-6.	Puretergent Scent-Free<br>Laundry Detergent 	Our 2X concentrated, scent-free laundry detergent leaves your<br>clothes wonderfully clean without all the nasty chemical stuff. 	Biodegradable<br>Greywater Safe<br>Non-toxic	Water, Taraxacum Officinal, Aloe Vera Extract, Polyaspartic Acid Sodium Salt,  Iminodisuccinate Sodium Salt, Alkyl Polyglucoside, C9-11 Pareth-6.			https://drive.google.com/uc?export=view&id=1n2EssuFRDjYkrHscEqRzaJsYB392DOjF
P-23	Scent-Free Hand soap	Hand	Re-Up Refills	Puretergent	C-7	Water, Sodium C14-16 Olefin Sulfonate, Sodium Methyl-2-Sulfolaurate and Disodium 2-Sulfolaurate, Alkyl Polyglucoside, Cocamidopropyl Betaine, Lauryl Lactyl Lactate, Sodium Chloride, Sambucus Nigra Fruit Extract, Aloe Vera Extract, Algae Oil.	Puretergent Scent-Free<br>Hand soap	Our scent-free hand soap leaves your hands wonderfully<br>clean without all the nasty chemical stuff. 	Biodegradable<br>Greywater Safe<br>Non-toxic	Water, Sodium C14-16 Olefin Sulfonate, Sodium Methyl-2-Sulfolaurate and Disodium 2-Sulfolaurate, Alkyl Polyglucoside, Cocamidopropyl Betaine, Lauryl Lactyl Lactate, Sodium Chloride, Sambucus Nigra Fruit Extract, Aloe Vera Extract, Algae Oil.			https://drive.google.com/uc?export=view&id=1n1xjHpxHfdGWycLDQ_CSpe3huPlsWRYo
P-24	Scent-Free All Purpose Cleaner	All purpose	Re-Up Refills	Puretergent	C-7	Water, C9-11 Pareth-6, Witch Hazel Distillate, Iminodisuccinate Sodium Salt, Glycol Ether, Herbal Distillate Lavender Fragrance: Linalyl Acetate, Lavandin Oil , Lavender Oil, Sambucus Nigra Fruit Extract.	Puretergent Scent-Free<br>All Purpose Cleaner	This All Purpose Cleaner packs a cleaning punch. Great all over the home — for floors, surfaces, and bathrooms.  	Biodegradable<br>Greywater Safe<br>Non-toxic	Water, C9-11 Pareth-6, Witch Hazel Distillate, Iminodisuccinate Sodium Salt, Glycol Ether, Herbal Distillate Lavender Fragrance: Linalyl Acetate, Lavandin Oil , Lavender Oil, Sambucus Nigra Fruit Extract.			https://drive.google.com/uc?export=view&id=1n0lAKkunyNyY6qZxgtiB4zb50GWL03lL
P-25	10x Laundry	Laundry		Puracy		C10-C16 Alcohol Ethoxylate (Plant-Based Cleanser), Purified Water, Decyl Glucoside (Vegetable-Based Cleanser), Lauryl/Myristyl Glucoside (Coconut Oil-Based Cleanser), Vegetable Glycerin (Plant-Based Softener), Protease (Plant-Based Enzyme), Cocamidopropyl Betaine (Coconut-Based Cleanser), Propanediol (Plant-Based Preservative), Amylase (Plant-Based Enzyme), Sodium Gluconate (Plant-Based Softener), Sodium Borate (Natural Mineral Cleanser), Lauramine Oxide (Coconut-Based Cleanser), Lipase (Plant-Based Enzyme), Coco-Glucoside (Coconut-Based Cleanser), Glyceryl Oleate (Plant-Based Softener), Sodium Citrate (Plant-Based Softener), Benzisothiazolinone (Biodegradable Preservative), Carboxy Inulin (Plant-Based Softener), Mannanase (Plant-Based Enzyme), Citric Acid (Plant-Based Softener), Zinc Ricinoleate (Mineral-Based Odor Remover), Calcium Chloride (Natural Mineral Stabilizer)	Puracy <br>Laundry Detergent	Safe for sensitive skin, 10x concentrated to last. <br> Eliminates stains, odors, sweat, and dirt from 96 full loads of the dirtiest laundry.<br><br>Vegan Friendly<br>Cruelty Free<br>Sulfate and Paraben Free	Vegan Friendly<br>Cruelty Free<br>Sulfate and Paraben Free	C10-C16 Alcohol Ethoxylate (Plant-Based Cleanser), Purified Water, Decyl Glucoside (Vegetable-Based Cleanser), Lauryl/Myristyl Glucoside (Coconut Oil-Based Cleanser), Vegetable Glycerin (Plant-Based Softener), Protease (Plant-Based Enzyme),Lipase (Plant-Based Enzyme),Sodium Citrate (Plant-Based Softener),Calcium Chloride (Natural Mineral Stabilizer) and more			https://drive.google.com/uc?export=view&id=1mwWWN5Dd-irS0KhPt-7XKBi9gqdTeAeV
P-26		All purpose		Mrs. Meyer's									
P-27	Unscented Hypoallergenic Laundry Detergent 	Laundry	Unpacked Living	Rustic Strength	C-11	Charcoal Filtered Deionized Water (Water), Cocamidopropyl Hydroxysultaine, Sodium C14-16 Olefin Sulfonate, Decyl Glucoside, Vegetable Glycerin (Glycerin), Dimethyl 9-decenamide, Caprylyl Capryl Glucoside, Cocamide MIPA, Pentasodium Pentetate, Polysorbate 20, Acrylate Copolymer, Methylisothiazolinone, Benzisothiazolinone 	Rustic Strength Unscented<br>Hypoallergenic Laundry Detergent 	A gentle, yet effective laundry detergent with mild ingredients that<br>are not irritating to sensitive skin, and does not<br>disrupt the endocrine system.	HE Biodegradable<br>pH balanced<BR>Plant-based formula 	Charcoal Filtered Deionized Water (Water), Cocamidopropyl Hydroxysultaine, Sodium C14-16 Olefin Sulfonate, Decyl Glucoside, Vegetable Glycerin (Glycerin), Dimethyl 9-decenamide, Caprylyl Capryl Glucoside, Cocamide MIPA, Pentasodium Pentetate, Polysorbate 20, Acrylate Copolymer, Methylisothiazolinone, Benzisothiazolinone 	6.0		
P-27	Unscented Hypoallergenic Laundry Detergent 	Laundry	Unpacked Living	Rustic Strength	C-11	Charcoal Filtered Deionized Water (Water), Cocamidopropyl Hydroxysultaine, Sodium C14-16 Olefin Sulfonate, Decyl Glucoside, Vegetable Glycerin (Glycerin), Dimethyl 9-decenamide, Caprylyl Capryl Glucoside, Cocamide MIPA, Pentasodium Pentetate, Polysorbate 20, Acrylate Copolymer, Methylisothiazolinone, Benzisothiazolinone 	Rustic Strength Unscented<br>Hypoallergenic Laundry Detergent 	A gentle, yet effective laundry detergent with mild ingredients that<br>are not irritating to sensitive skin, and does not<br>disrupt the endocrine system.	HE Biodegradable<br>pH balanced<BR>Plant-based formula 	Charcoal Filtered Deionized Water (Water), Cocamidopropyl Hydroxysultaine, Sodium C14-16 Olefin Sulfonate, Decyl Glucoside, Vegetable Glycerin (Glycerin), Dimethyl 9-decenamide, Caprylyl Capryl Glucoside, Cocamide MIPA, Pentasodium Pentetate, Polysorbate 20, Acrylate Copolymer, Methylisothiazolinone, Benzisothiazolinone 	5.3		
P-28		Laundry	Unpacked Living 	Rustic Strength							6.8		
P-28		Laundry	Unpacked Living 	Rustic Strength							6.4		
P-29	Plain Jane Unscented Hand Soap  	Hand	Unpacked Living 	Rustic Strength	C-11	Filtered deionized water, Alpha-OlefinC14-C16, Cocamidopropyl Hydroxysultaine, Cocamide MIPA, Decyl Glucoside, Sea Salt, Glycerine, Sodium Benzoate, Potassium Sorbate	Rustic Strength Plain Jane<br>Unscented Hand Soap  	Hand soap like you’ve never felt before, soft and cleansing.<br>It’s healthy for you and the environment. With just 10 simple<br>ingredients, this hand soap has no harmful chemicals.	No Parabens or Phthalates<br>No Synthetic Dyes<br>No Sulfates	Filtered deionized water, Alpha-OlefinC14-C16, Cocamidopropyl Hydroxysultaine, Cocamide MIPA, Decyl Glucoside, Sea Salt, Glycerine, Sodium Benzoate, Potassium Sorbate	6.0		
P-29	Plain Jane Unscented Hand Soap  	Hand	Unpacked Living 	Rustic Strength	C-11	Filtered deionized water, Alpha-OlefinC14-C16, Cocamidopropyl Hydroxysultaine, Cocamide MIPA, Decyl Glucoside, Sea Salt, Glycerine, Sodium Benzoate, Potassium Sorbate	Rustic Strength Plain Jane<br>Unscented Hand Soap  	Hand soap like you’ve never felt before, soft and cleansing.<br>It’s healthy for you and the environment. With just 10 simple<br>ingredients, this hand soap has no harmful chemicals.	No Parabens or Phthalates<br>No Synthetic Dyes<br>No Sulfates	Filtered deionized water, Alpha-OlefinC14-C16, Cocamidopropyl Hydroxysultaine, Cocamide MIPA, Decyl Glucoside, Sea Salt, Glycerine, Sodium Benzoate, Potassium Sorbate	6.5		
P-30	Unscented Hypoallergenic Dishes Great Soap 	Dish	Unpacked Living	Rustic Strength	C-11	Filtered deionized water, ethoxylated alcohol surfactants, ZINC1760476, aminodimethyloctyl-1-ol, natural sea salt, Sodium Benzoate, Potassium Sorbate	Rustic Strength Unscented<br>Hypoallergenic Dish Soap	This is a high foaming, low skin irritant liquid dish detergent<br>used for glasses, plates, cutlery and cooking utensils that you<br>hand wash in a kitchen sink or bowl. 	HE Biodegradable<br>pH balanced<BR>Plant-based formula 	Filtered deionized water, ethoxylated alcohol surfactants, ZINC1760476, aminodimethyloctyl-1-ol, natural sea salt, Sodium Benzoate, Potassium Sorbate	6.7		
P-30	Unscented Hypoallergenic Dishes Great Soap 	Dish	Unpacked Living	Rustic Strength	C-11	Filtered deionized water, ethoxylated alcohol surfactants, ZINC1760476, aminodimethyloctyl-1-ol, natural sea salt, Sodium Benzoate, Potassium Sorbate	Rustic Strength Unscented<br>Hypoallergenic Dish Soap	This is a high foaming, low skin irritant liquid dish detergent<br>used for glasses, plates, cutlery and cooking utensils that you<br>hand wash in a kitchen sink or bowl. 	HE Biodegradable<br>pH balanced<BR>Plant-based formula 	Filtered deionized water, ethoxylated alcohol surfactants, ZINC1760476, aminodimethyloctyl-1-ol, natural sea salt, Sodium Benzoate, Potassium Sorbate	6.7		
P-31		Hand		Aloe-moist									
P-32													
P-33	Dish Soap Unscented	Dish	Nada	Live for tomorrow	C-8	Purified Water, Sodium Methyl 2-Sulfolaurate/Disodium 2-Sulfolaurate, Lauramine Oxide, Caprylyl/Myristyl Glucoside  Glycerine , Sodium Chloride, Sodium Carbonate , Potassium Sorbate , Citric Acid, Sodium Hydroxide/Sodium Chloride/Sodium Carbonate	Live for Tomorrow Dish Soap<br>Unscented	This plant & mineral based, non-toxic dish liquid tackles the<br>greasiest of dishes. A little bit goes a long way! For use in your<br>sink, NOT your dishwasher.		Purified Water, Sodium Methyl 2-Sulfolaurate/Disodium 2-Sulfolaurate, Lauramine Oxide, Caprylyl/Myristyl Glucoside  Glycerine , Sodium Chloride, Sodium Carbonate , Potassium Sorbate , Citric Acid, Sodium Hydroxide/Sodium Chloride/Sodium Carbonate	6.7		https://drive.google.com/uc?export=view&id=1mqsMKaDIBRPPJcZBqZfH7D97EpqE3Ohx
P-34	Citrus Hand Soap 	Hand 	VIP	EchoClean	C-5 C-9	Water, Sodium Laureth Sulfate*, Cocamidopropyl Betaine*, Cocamidopropylamine Oxide*, PEG-150 Distearate*, Sodium Chloride, Fragrance, Methylisothiazolinone. *Plant-based Ingredients.	EchoClean Citrus <br>Hand Soap	This gentle and effective hand soap will leave you feeling<br>clean with a light citrus scent.	Plant-based<br>PETA certified<br>100% biodegradable	Water, Sodium Laureth Sulfate*, Cocamidopropyl Betaine*, Cocamidopropylamine Oxide*, PEG-150 Distearate*, Sodium Chloride, Fragrance, Methylisothiazolinone. *Plant-based Ingredients.	5.9		https://drive.google.com/uc?export=view&id=1mqoxosmidrQ35Gr3xD1k6_SCRTd8JyLi
P-35	Hand Soap Lavender 	Hand	Nada	Live for Tomorrow	C-8	Purified Water, Lauramine Oxide, Sodium Methyl -2-Sulfolaurate Disodium 2-Sulfolaurate, Lauryl/Myristyl Glucoside, Coco Glucoside, Glyceryl Oleate, Glycerine, Cocamidopropyl Hydroxysultaine, Lavandula Hybrida, Potassium Sorbate	Live for Tomorrow Hand Soap<br>Lavender	The refreshing scent of this hand soap is created using 100%<br>essential oils. A natural formula to leave your hands soft & clean!		Purified Water, Lauramine Oxide, Sodium Methyl -2-Sulfolaurate Disodium 2-Sulfolaurate, Lauryl/Myristyl Glucoside, Coco Glucoside, Glyceryl Oleate, Glycerine, Cocamidopropyl Hydroxysultaine, Lavandula Hybrida, Potassium Sorbate	6.4		https://drive.google.com/uc?export=view&id=1mqfI4HC8AZFH7_IThLXhWKVf0bdYj3ji
P-36	Hand Soap Rosemary Orange Blossom	Hand	Nada	Live for Tomorrow	C-8	Purified Water, Lauramine Oxide, Sodium Methyl -2-Sulfolaurate Disodium 2-Sulfolaurate, Lauryl/Myristyl Glucoside, Coco Glucoside, Glyceryl Oleate, Glycerine, Cocamidopropyl Hydroxysultaine, Rosmarinus Officinalis Leaf Oil, Lavandula Hybrida Oil, Salvia Sclarea Oil, Citrus Aurantium Dulcis Peel Oil, Potassium Sorbate	Live for Tomorrow Hand Soap<br>Rosemary + Orange Blossom	The refreshing scent of this hand soap is created using 100%<br>essential oils. A natural formula to leave your hands soft & clean!		Purified Water, Lauramine Oxide, Sodium Methyl -2-Sulfolaurate Disodium 2-Sulfolaurate, Lauryl/Myristyl Glucoside, Coco Glucoside, Glyceryl Oleate, Glycerine, Cocamidopropyl Hydroxysultaine, Rosmarinus Officinalis Leaf Oil, Lavandula Hybrida Oil, Salvia Sclarea Oil, Citrus Aurantium Dulcis Peel Oil, Potassium Sorbate	6.2		https://drive.google.com/uc?export=view&id=1mqauIzQwMCmroXo7bn37DISPH5Q7DwtD
P-37		Laundry	NADA-US								6.2		
P-38		All purpose	NADA-US								6.4		
P-39		Dish	NADA-US								6.6		
P-40		Hand	NADA-US								6.2		
P-41		Shampoo	NADA-US								5.7		
P-42		Conditioner	NADA-US								5.5		
P-43		Cleanser	Pomme	Sapadilla									
P-44	Hand Soap Sweet Lavender + Lime	Hand	Pomme	Sapadilla	C-10	Water, Cocamidopropyl Betaine, Decyl Glucoside, Glycerin, PEG-18 Glyceryl Oleate/Cocoate, Sorbitan Sesquicaprylate, Lavandula Angustifolia Oil, Lavandula Hybrida Oil, Citrus Limon Peel Oil, Citrus Aurantium Bergamia Fruit Oil, Citrus Aurantifolia Peel Oil, Citrus Grandis Peel Extract, Rosmarinus Officinalis Leaf Oil, Phenoxyethanol, Potassium Sorbate, Citric Acid, D-limonene, Linalool	Sapadilla Hand Soap<br>Sweet Lavender + Lime	This extra nice, biodegradable and earth-friendly liquid hand<br>soap keeps things simple with plant-based ingredients,<br> vegetable glycerin and blend of 100% pure essential oils.	USDA Organic Certified<br>100% Pure Essential Oils<br>Plant-Based + Biodegradable	Water, Cocamidopropyl Betaine, Decyl Glucoside, Glycerin, PEG-18 Glyceryl Oleate/Cocoate, Sorbitan Sesquicaprylate, Lavandula Angustifolia Oil, Lavandula Hybrida Oil, Citrus Limon Peel Oil, Citrus Aurantium Bergamia Fruit Oil, Citrus Aurantifolia Peel Oil, Citrus Grandis Peel Extract, Rosmarinus Officinalis Leaf Oil, Phenoxyethanol, Potassium Sorbate, Citric Acid, D-limonene, Linalool	5.8		https://drive.google.com/uc?export=view&id=1mpnhq1Z-jiIRQZAKv3HLIshIBA7T5uyu
P-45		Dish	Pomme	Sapadilla									
P-46		Laundry	Pomme	Sapadilla									
P-47		Shower	Pomme	Oneka							6.0		
P-48	Hand Soap Rosemary + Peppermint	Hand	Pomme	Sapadilla	C-10	Water, Cocamidopropyl Betaine, Decyl Glucoside, Glycerin, PEG-18 Glyceryl Oleate/Cocoate, Sorbitan, Sesquicaprylate, Mentha Piperita, Mentha Arvensis Leaf Oil, Rosmarinus Officinalis Leaf Oil, Citrus Sinensis Peel Oil, Eugenia Caryophyllus Flower Oil, Phenoxyethanol, Potassium Sorbate, Citric Acid	Sapadilla Hand Soap<br>Rosemary + Peppermint	This extra nice, biodegradable and earth-friendly liquid hand<br>soap keeps things simple with plant-based ingredients,<br> vegetable glycerin and blend of 100% pure essential oils.	USDA Organic Certified<br>100% Pure Essential Oils<br>Plant-Based + Biodegradable	Water, Cocamidopropyl Betaine, Decyl Glucoside, Glycerin, PEG-18 Glyceryl Oleate/Cocoate, Sorbitan, Sesquicaprylate, Mentha Piperita, Mentha Arvensis Leaf Oil, Rosmarinus Officinalis Leaf Oil, Citrus Sinensis Peel Oil, Eugenia Caryophyllus Flower Oil, Phenoxyethanol, Potassium Sorbate, Citric Acid			https://drive.google.com/uc?export=view&id=1mnn1KRzCiz3gzw0d_2Agx6KEuN3WLHZl
P-49	Hand Soap Grapefruit + Bergamot	Hand	Pomme	Sapadilla	C-10	Water, Cocamidopropyl Betaine, Decyl Glucoside, Glycerin, PEG-18 Glyceryl Oleate/Cocoate, Sorbitan, Sesquicaprylate, Citrus Limon Peel Oil, Litsae Cubeba Fruit Oil, Citrus Aurantium, Bergamia Fruit Oil, Citrus Grandis, Peel Extract, Citrus Sinensis Peel Oil, Phenoxyethanol, Potassium Sorbate, Citric Acid, D-limonene 	Sapadilla Hand Soap<br>Grapefruit + Bergamot 	This extra nice, biodegradable and earth-friendly liquid hand<br>soap keeps things simple with plant-based ingredients,<br> vegetable glycerin and blend of 100% pure essential oils.	USDA Organic Certified<br>100% Pure Essential Oils<br>Plant-Based + Biodegradable	Water, Cocamidopropyl Betaine, Decyl Glucoside, Glycerin, PEG-18 Glyceryl Oleate/Cocoate, Sorbitan, Sesquicaprylate, Citrus Limon Peel Oil, Litsae Cubeba Fruit Oil, Citrus Aurantium, Bergamia Fruit Oil, Citrus Grandis, Peel Extract, Citrus Sinensis Peel Oil, Phenoxyethanol, Potassium Sorbate, Citric Acid, D-limonene 			https://drive.google.com/uc?export=view&id=1mnM2Ep7hNMxifTxAMf_iYRHSfu8KUAG_
